,YearKey,CountryKey,EducationKey,QualityOfLifeKey,HealthKey,PopulationKey,QualityOfLife,DevelopmentIndex,HumanDevelopmentIndex,Name,TotalPopulation,Birthrate,Size,GDP,PopulationDensity,"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Public spending on education, total (% of GDP)",PISA: Mean performance on the science scale,PISA: Mean performance on the reading scale,PISA: Mean performance on the mathematics scale,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",Domestic general government health expenditure (% of GDP),"Hospital beds (per 1,000 people)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)","Stillbirth rate (per 1,000 total births)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of current tobacco use (% of adults),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),"Labor force, female (% of total labor force)","Labor force, total",Rural population growth (annual %),Urban population growth (annual %),Rural population (% of total population),Urban population (% of total population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",Age dependency ratio (% of working-age population),Births attended by skilled health staff (% of total)
83,9,105,83,83,83,83,,,5,United Kingdom,0.18262670276534385,0.6975879903484071,0.021335038218261305,0.1333426529687101,0.6975879903484071,0.20025365452114707,0.4812958951535937,0.059701654640480384,0.30725169527647855,0.5335417303063394,0.33800314466980375,0.44580450275799777,0.2506409391445148,0.6297027470076317,0.09320695102685622,0.9404761904761904,0.6666666666666661,0.6875,0.6666666666666661,0.391304347826087,0.44710226617680016,0.21909897051632776,0.7445227662411886,,0.22745098039215683,0.6690476190476191,0.30743263392697395,0.35843997837058406,0.5166666666666693,0.7142857142857153,0.697726259473912,0.6616443325529151,0.5668320008714822,0.18679154148602223,0.4937994048024037,0.6987709598376792,0.7110728992262093,0.28892710077379036,0.999995821396169,0.3469151549452505,0.37833863024966613,0.3753876778376905,0.3698630184615909,0.5715805146404467,
84,9,89,84,84,84,84,,,5,France,0.1879027141528356,0.3125482990071789,0.05235679780336668,0.12224139471674421,0.3125482990071789,0.17069816268109683,0.16403353595968317,0.1319160826884127,0.26688566468107067,0.22700443996901498,0.2932567106655011,0.444383876660849,0.2510457428147346,0.6795282070498438,0.6413902053712481,0.8214285714285714,0.9166666666666661,0.5625,0.9166666666666661,0.2173913043478261,0.8438728497886162,0.28559912249402,0.9556105924938083,,0.7215686274509804,0.7571428571428569,0.5050039960397457,0.260814708002884,1.0,0.7142857142857153,0.956308515381183,0.5945247423111082,0.8976596081155783,0.16818951495252266,0.48584627905305766,0.6315229932083606,0.8455133716457759,0.1544866283542241,0.9999971212124024,0.0035561948920843633,0.8934083808831756,0.8931894214524556,0.8904109436189631,0.7842088017544344,0.7358490566037723
85,9,57,85,85,85,85,,,5,Germany,0.23317278956503162,0.6054445036305085,0.032809055767940624,0.17098088268428605,0.6054445036305085,0.14821910016232565,0.11270706608417203,0.1902226392317411,0.1470042616524725,0.5971714498736773,0.4150276264789561,0.6551776405985965,0.31095668600728654,0.7784010084778736,0.9620853080568721,0.869047619047619,0.5,0.9375,0.5,0.2608695652173913,0.13763897739392394,0.6129458562951804,0.4606168370694947,0.0,0.5058823529411766,0.8252380952380951,0.3934369520355945,0.2673035328046143,0.5833333333333339,0.5873015873015888,0.6584930896121133,0.5800080025420494,0.5440791699567349,0.24211052312750186,0.775822689558936,0.5340968474319163,0.9452463912394226,0.05475360876057689,0.9999971212124024,0.4296218676909831,0.23266354218099877,0.24153331570726516,0.22914071229495864,0.45112115562867494,0.792452830188676
86,9,121,86,86,86,86,,,5,Sweden,0.013196988498817973,0.05580843230986239,0.042170083569231784,0.014998361754182035,0.05580843230986239,0.7640453387224362,0.5718187643225112,0.14170014937374553,0.7688900599189019,0.20982596911578355,0.3542567481631842,0.4287952060011069,0.2546215085683441,0.9783222280442079,0.06319115323854657,0.33333333333333337,0.8333333333333321,0.9375,0.8333333333333321,0.06521739130434773,0.3425052513668726,0.47103833802481865,0.4660993628415994,,0.6549019607843135,0.0776190476190477,0.09829064926699516,0.10934120403749104,0.6833333333333353,0.8571428571428577,0.8711547035220661,0.7269754807335218,0.7906544230829606,0.01401433830168522,0.3675447603849158,0.7768887634590669,0.5354088420290509,0.46459115797094874,0.7891004128966586,0.4453304301692498,0.6070815862565222,0.6020344577670771,0.5990037009931624,0.7319650650121807,
87,9,9,87,87,87,87,,,5,Australia,0.05571805414617047,0.001058191927598844,0.7696791948517512,0.056830803181396605,0.001058191927598844,0.29728356124472466,0.7630284184593421,0.9172151863623904,0.2041476074638331,0.6627977189067948,0.58821498570153,0.6117697584448099,0.24672783699905576,0.10554846292506914,0.2606635071090047,0.9166666666666666,0.4166666666666661,0.75,0.4166666666666661,0.2826086956521739,0.16752053317794502,0.5276401168245912,0.32234711373594965,0.0,0.07843137254901955,0.5357142857142858,0.22322951582312445,0.1592465753424659,0.7166666666666686,0.8412698412698418,0.8796255015603993,0.8545303733319363,0.3892459066463516,0.05790746552819572,0.883483075835132,0.8439187989982511,0.5645956830625819,0.4354043169374182,0.966393033543369,1.0,0.4213427730992448,0.3308522341333688,0.36612700226066935,0.3433733977080964,1.0
88,9,73,88,88,88,88,,,5,Denmark,0.0006913527027848886,0.3652724153277414,0.0012623890637686302,0.004181931591579636,0.3652724153277414,0.17111876211045152,0.5218898544773041,0.4169000138295583,0.7832186828125709,0.2588425212671748,0.319622065729833,0.6576461220552705,0.583659425178789,0.7992848109460549,0.08688783570300157,,0.583333333333333,0.5,0.583333333333333,0.3043478260869565,0.015289815812515428,0.2779870224266212,0.41375076734192756,0.0,0.21176470588235297,0.4452380952380952,0.34101129626757953,0.3173215573179524,0.45000000000000107,0.5873015873015888,0.587160053499769,0.6030428576560637,0.6953726267020244,9.634682891473262e-05,0.5741074819782606,0.589905273948246,0.48278202633603307,0.5172179736639664,0.9999961790637286,0.7068040191564791,0.5407987709954076,0.4220320065773597,0.4719800416935867,0.616254221428258,0.2830188679245289
89,9,25,89,89,89,89,,,5,Belgium,0.017865645844150294,0.969767185348967,0.0,0.012764600905381725,0.969767185348967,0.24245695734811878,0.9774063060851401,0.2996323497672647,0.5383803037719919,0.396952085863278,0.4129374470257119,0.7565970662333417,0.21623262717582037,0.6647681034095161,0.5860979462875198,0.9999999999999999,1.0,0.875,1.0,0.2608695652173913,0.4086030176533927,0.4061504711308461,0.22516458161342906,,0.38039215686274497,0.6128571428571432,0.3963475003876755,0.34875180245133386,0.6333333333333364,0.6031746031746028,0.6946054391439986,0.5869182424995809,0.4662726871050893,0.01300960472626302,0.2861877864839734,0.5496266707034061,0.011131725417439245,0.9888682745825603,0.999994748393533,0.6241126761905207,0.6377113322912571,0.7049993426671524,0.669987592745914,0.5321473145137312,
90,10,42,90,90,90,90,,1.0,4,Canada,0.09344886018452409,0.0035026285063231117,1.0000000000000002,0.06103530111636361,0.0035026285063231117,0.20721007773806077,0.2597853181675749,0.17975472495630895,0.15057117709346124,0.8638017561954321,0.9921354278889574,0.8020209055506236,,0.5224249353019652,0.07582938388625593,0.6547619047619048,0.33333333333333304,0.4375,0.33333333333333304,0.5652173913043479,0.3197849960623341,0.22475518376085324,0.1334010711034906,,0.23202614379084985,0.04571428571428582,0.2763589517254542,0.2945430785868781,0.6500000000000021,0.7777777777777786,0.8065091395452431,0.664166964810705,0.7123145662791064,0.10333213608754421,0.81490016171786,0.6305627005215015,0.7611204126883568,0.23887958731164272,0.3276007861358323,0.4521353424848371,0.43604503722875326,0.5119712095933897,0.4694893840270529,0.1749248291344836,0.6603773584905674
91,10,138,91,91,91,91,,2.0,3,United States,0.9730142491827348,0.08551448599585798,0.9385120284601124,0.8490736100572854,0.08551448599585798,0.14098381883007605,0.0842722690212927,0.5316657692953953,,0.23038548896709266,0.31138392252960756,0.0,0.14491971393873992,0.7679736090081661,0.10426540284360186,0.9285714285714285,0.6666666666666661,0.625,0.5,0.8043478260869565,0.39000861097933603,0.6708229261652725,0.14711796956033957,1.0,0.41960784313725463,0.22476190476190472,0.9088067944604155,0.9619908074981975,0.18333333333333535,0.20634920634920562,0.2197949175211651,0.6615813223271358,0.4609877608060522,0.9605935965254128,0.6098537490150793,0.6752152569889527,0.742477035159962,0.2575229648400379,0.517719731532992,0.8320650374650427,0.29955890801093593,0.25207791803324314,0.2665006365706744,0.39493265037351577,0.8867924528301856
92,10,106,92,92,92,92,,2.0,3,United Kingdom,0.18421256205292666,0.7031931336088363,0.021335038218261305,0.12717356982410782,0.7031931336088363,0.1902438967993607,0.45551740024952814,0.05815383540861219,0.2951736782958221,0.49168784365773277,0.33512220263052583,0.3982315459915764,0.0,0.6183841494797147,0.07424960505529221,0.9404761904761904,0.6666666666666661,0.6875,0.6666666666666661,0.36956521739130427,0.38570997875571844,0.21377314355944965,0.7573506064647233,,0.2875816993464051,0.4895238095238097,0.31550821275631313,0.36833093006488826,0.45000000000000107,0.6666666666666679,0.6339723584484975,0.6759245261102959,0.5806333731929314,0.1885863704337349,0.5052060163243355,0.7125617624001066,0.6992624100638036,0.30073758993619615,0.9999984297522104,0.3460657531832254,0.29294289499681264,0.2628706105504824,0.2689912942372082,0.6067104471958764,
