,TotalPopulation,Birthrate,Size,GDP,PopulationDensity,"School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",PISA: Mean performance on the science scale,PISA: Mean performance on the reading scale,PISA: Mean performance on the mathematics scale,"Hospital beds (per 1,000 people)","Stillbirth rate (per 1,000 total births)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Labor force, total",People using at least basic sanitation services (% of population)
47,0.1769613740486155,0.6775641589004839,0.021335038218261305,0.10518533133868907,0.6775641589004839,0.15683355628170492,0.09414238700460031,0.5335417303063394,0.33800314466980375,0.44580450275799777,0.12480252764612954,0.6910416495166828,0.6514285714285715,0.393353452697625,0.4441240086517664,0.3833333333333364,0.5555555555555554,0.5327686134640945,0.18002973473656264,0.3503835225242824
48,0.18393880806965174,0.30635808286591437,0.05235679780336668,0.112342079035111,0.30635808286591437,0.2054680972324061,0.035132043350299846,0.22700443996901498,0.2932567106655011,0.444383876660849,0.6777251184834121,0.9454546238182987,0.7161904761904763,0.686352629632722,0.35886806056236487,0.8666666666666671,0.5079365079365079,0.7632634864021242,0.1657730033971355,0.005862197754964882
49,0.23562424454319833,0.6120380796849973,0.032809055767940624,0.14794853972128713,0.6120380796849973,0.1716184533577645,0.23152410242099453,0.5971714498736773,0.4150276264789561,0.6551776405985965,0.9652448657187993,0.10596341153326128,0.7619047619047621,0.5224315007216729,0.35017123287671237,0.41666666666666785,0.3968253968253972,0.4569772625947355,0.23920528061599539,0.42911884792002297
50,0.012215752317181635,0.05329985433778013,0.042170083569231784,0.010928616094270715,0.05329985433778013,0.09073462707682678,0.3094981796275672,0.20982596911578355,0.3542567481631842,0.4287952060011069,0.09320695102685622,0.33760686147635843,0.16190476190476177,0.1637422017582575,0.12139509733237219,0.5666666666666682,0.7142857142857153,0.724476148016036,0.012785596667110408,0.3792425504575476
51,0.05126235119518159,0.0005622432235022476,0.7696791948517512,0.04171817135873271,0.0005622432235022476,0.7630284184593421,0.9172151863623904,0.6627977189067948,0.58821498570153,0.6117697584448099,0.259083728278041,0.3285438886552493,0.7142857142857142,0.24450991852850312,0.1795917447728912,0.6500000000000021,0.7142857142857153,0.7690592955862581,0.05389542406445443,1.0
52,0.000395757401413413,0.3379946710406204,0.0012623890637686302,0.0027175871481034744,0.3379946710406204,0.38606428481006816,0.30838212342864024,0.2588425212671748,0.319622065729833,0.6576461220552705,0.21484992101105843,0.04903994486441199,0.4495238095238092,0.5572149392244103,0.5693943763518385,0.18333333333333535,0.33333333333333215,0.29469460543913684,0.00023155531915900612,0.7068082988772488
53,0.01689833589429834,0.942450904028064,0.0,0.010226594284621332,0.942450904028064,0.9022795754596493,0.2241706203636069,0.396952085863278,0.4129374470257119,0.7565970662333417,0.6287519747235386,0.41490724483379415,0.5257142857142856,0.5235766344995407,0.48499459264599865,0.4833333333333343,0.3968253968253972,0.49264378065090675,0.012501601957923155,0.6240974180556407
90,0.09344886018452409,0.0035026285063231117,1.0000000000000002,0.06103530111636361,0.0035026285063231117,0.2597853181675749,0.17975472495630895,0.8638017561954321,0.9921354278889574,0.8020209055506236,0.07582938388625593,0.3197849960623341,0.04571428571428582,0.2763589517254542,0.2945430785868781,0.6500000000000021,0.7777777777777786,0.8065091395452431,0.10333213608754421,0.4521353424848371
91,0.9730142491827348,0.08551448599585798,0.9385120284601124,0.8490736100572854,0.08551448599585798,0.0842722690212927,0.5316657692953953,0.23038548896709266,0.31138392252960756,0.0,0.10426540284360186,0.39000861097933603,0.22476190476190472,0.9088067944604155,0.9619908074981975,0.18333333333333535,0.20634920634920562,0.2197949175211651,0.9605935965254128,0.8320650374650427
92,0.18421256205292666,0.7031931336088363,0.021335038218261305,0.12717356982410782,0.7031931336088363,0.45551740024952814,0.05815383540861219,0.49168784365773277,0.33512220263052583,0.3982315459915764,0.07424960505529221,0.38570997875571844,0.4895238095238097,0.31550821275631313,0.36833093006488826,0.45000000000000107,0.6666666666666679,0.6339723584484975,0.1885863704337349,0.3460657531832254
