HealthKey,Domestic general government health expenditure (% of GDP),"Hospital beds (per 1,000 people)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Mortality rate, infant (per 1,000 live births)","Stillbirth rate (per 1,000 total births)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of current tobacco use (% of adults),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)"
88,8.56367874,2.69,,94,90,94,3.5,2.051560796,10.2216,3.8632,,0.1,21.6,,86.724,51.817
89,8.08606339,5.85,98,99,96,99,3.3,3.067329405,11.1914,2.9723,,,25.9,,91.363,53.212
90,7.58065939,2.62,69,91,89,91,4.7,2.837948449,9.8188,2.5388,,,,8.88,81.304,50.806
91,8.45250511,2.8,92,95,92,93,5.8,3.019307588,,,,0.5,,9.82,134.324,80.43
92,7.92137241,2.61,,95,93,95,3.8,3.008205963,9.7357,5.4864,,,,11.21,84.586,54.081
93,8.2843132,6.13,88,97,91,97,3.2,4.285499773,10.5952,6.4477,,,,12.64,101.59,49.377
94,8.60765076,8.13,87,93,97,93,3.3,2.523907769,12.9115,4.1342,,0.1,,13.06,92.451,50.173
95,9.07129955,2.44,53,98,98,98,2.3,2.8147316,11.7297,4.1884,,,,9.13,66.933,39.95
96,6.38369751,3.82,93,93,95,93,3.3,2.340682893,12.2016,3.4886,,0.1,,10.83,78.264,45.201
97,8.60955524,2.53,,93,91,93,3.5,2.056709248,10.2414,3.9257,,0.1,,10.36,82.945,51.397
98,7.91765547,5.83,98,99,96,99,3.3,3.001328867,11.808,3.0138,,,,11.82,89.305,53.933
99,7.67784119,2.6,70,91,89,91,4.6,2.810181019,9.9194,2.3105,,,19.1,,82.882,51.654
100,8.55732727,2.77,93,95,92,94,5.7,3.033590135,,,,0.4,25.7,,138.526,82.117
101,7.92683458,2.57,,94,92,94,3.8,2.999168685,8.2751,5.5095,,,20.6,,85.682,55.137
