EducationKey,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","Literacy rate, adult total (% of people ages 15 and above)",PISA: Mean performance on the mathematics scale,"Literacy rate, adult female (% of females ages 15 and above)","Public spending on education, total (% of GDP)",PISA: Mean performance on the reading scale,PISA: Mean performance on the science scale,"School enrollment, tertiary (% gross)","Literacy rate, adult male (% of males ages 15 and above)"
54,..,98.1893692016602,103.348960876465,..,..,..,5.26205015182495,..,..,63.4673194885254,..
55,1.01223,..,..,..,..,..,..,..,..,..,..
56,0.99216,104.425712585449,93.7658309936523,..,..,..,5.5809497833252,..,..,59.1459312438965,..
57,1.00469,102.691101074219,106.610641479492,..,..,..,..,..,..,55.6257286071777,..
58,1.00057,102.46656036377,103.762420654297,..,..,..,4.82487010955811,..,..,..,..
59,0.99534,100.42845916748,96.9797515869141,..,..,..,6.36691999435425,..,..,72.8254013061523,..
60,..,105.689682006836,..,..,..,..,5.07451009750366,..,..,..,..
61,1.00725,100.780670166016,122.699020385742,..,..,..,8.48486042022705,..,..,76.7583465576172,..
62,0.99851,101.946800231934,156.633163452148,..,..,..,6.43199014663696,..,..,69.842529296875,..
63,..,99.5182800292969,109.987487792969,..,518.070399595951,..,..,523.116718421554,525.460969751711,63.980770111084,..
64,0.99899,..,..,..,481.366786279212,..,..,497.581718116953,497.409811483087,..,..
65,1.00005,106.246078491211,91.5527572631836,..,493.934230896316,..,..,499.323115130356,514.129321054891,59.4021186828613,..
66,1.00506,102.523162841797,105.813583374023,..,494.98467432064,..,..,505.481483378022,498.970894151481,57.9090118408203,..
67,0.99831,101.614196777344,102.167610168457,..,513.525055819929,..,4.95658016204834,507.676529765533,524.120799257005,..,..
68,1.00673,101.923927307129,98.1422500610352,..,478.260635903011,..,7.5369701385498,483.335005574195,484.798965809011,68.8176498413086,..
69,..,105.984451293945,..,..,504.150766311123,..,4.86899995803833,511.803997666501,521.494746315308,..,..
70,0.9945,101.356559753418,123.405792236328,..,500.026756625414,..,7.23782014846802,496.130881383569,498.474201429469,79.1083221435547,..
71,1.00682,102.256050109863,157.794769287109,..,514.529244727357,..,..,508.617876321039,504.867653046562,71.1920166015625,..
72,..,100.340713500977,109.485992431641,..,..,..,..,..,..,65.3322982788086,..
73,1.0111,99.455436706543,96.1864929199219,..,..,..,..,..,..,88.7264175415039,..
74,0.96637,107.111999511719,123.776290893555,..,..,..,5.53157997131348,..,..,57.038761138916,..
75,1.00549,102.276443481445,104.376602172852,..,..,..,..,..,..,59.8487586975098,..
76,0.99999,100.838249206543,100.810890197754,..,..,..,4.93538999557495,..,..,61.3868408203125,..
77,1.00119,120.424751281738,128.556381225586,..,..,..,7.61120986938477,..,..,63.2171592712402,..
78,1.00071,105.993850708008,..,..,..,..,5.22974014282227,..,..,..,..
79,1.00242,101.545562744141,129.338043212891,..,..,..,8.49442958831787,..,..,80.931037902832,..
80,1.00195,103.821968078613,160.919235229492,..,..,..,6.63052988052368,..,..,72.1154937744141,..
81,..,101.536659240723,109.333099365234,..,..,..,..,..,..,65.612907409668,..
82,1.02096,99.6733779907227,96.9245376586914,..,..,..,..,..,..,88.6268692016602,..
83,0.99817,102.255546569824,126.38990020752,..,..,..,5.60456991195679,..,..,56.5644989013672,..
84,0.99823,101.280349731445,103.425827026367,..,..,..,..,..,..,61.5104789733887,..
