PopulationKey,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Net migration,Population growth (annual %),"Labor force, female (% of total labor force)","Labor force, total",Rural population growth (annual %),Urban population growth (annual %),Rural population (% of total population),Urban population (% of total population)
126,84.2,80,82.0487804878049,,1.41501469953534,47.3818036054098,20788261,1.0323383832027,1.50218820550071,18.518,81.482
127,81.4,76.3,78.7878048780488,,0.455381285963537,46.2995903547265,166355636,-0.695262032744607,0.701867775195684,17.541,82.459
128,83.1,79.4,81.2048780487805,,0.564131113399897,47.1550428535715,34776798,-0.977624103915803,0.868230886876796,16.348,83.652
129,85.6,79.7,82.5780487804878,,0.218824148997353,48.3931658117767,30551690,-1.14552287464558,0.547704235533319,19.291,80.709
130,83.4,78.6,80.9414634146342,,0.22551987421288,46.5777864720255,44351163,-0.0569656713221133,0.30826693577482,22.624,77.376
131,84.7,81.3,82.9585365853659,,1.01372226345511,47.6766715437861,5455406,-1.21477073615386,1.33004433880562,12.292,87.708
132,85,80.9,82.9,,1.52165367749095,46.7110282560764,13504175,0.717762399579264,1.65178048674511,13.876,86.124
133,83.2,79.3,81.2024390243903,,0.358130915892652,47.0453035641601,3031682,-0.63629360711944,0.494581334948344,12.006,87.994
134,84,79.6,81.7463414634146,,0.540461327098122,46.6413488628212,5182914,-1.48096625969404,0.581271660540823,1.959,98.041
135,,,,,1.08959148655862,47.0923695057402,20492683,0.656644458992974,1.18772430444538,18.438,81.562
136,,,,,0.350911063312921,46.2955115854218,163738061,-0.824661438105005,0.599210762260319,17.336,82.664
137,,,,,0.565404594994568,47.5612465741508,34749413,-0.981859809627956,0.86500789642149,16.097,83.903
138,,,,,0.211906588145578,48.4495501030496,30261152,-1.17657091084098,0.540944063384709,19.025,80.975
139,,,,,0.177430343551393,46.9817975720365,44120268,-0.163499076661776,0.276895619755864,22.547,77.453
140,,,,,0.722703912882934,47.265961128618,5489900,-1.49005557601014,1.02894002235642,12.023,87.977
141,,,,,1.25869817155796,46.7867180066848,13481621,0.411935262129995,1.39445750643396,13.759,86.241
142,,,,,0.291641177476633,47.1257215668479,3027786,-0.729793819628221,0.430201637829091,11.884,88.116
143,,,,,0.581620792438621,46.5938148556698,5160979,-1.37701813485268,0.620368902184976,1.92100000000001,98.079
