QualityOfLifeKey,People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)",Pregnant women receiving prenatal care (%),Age dependency ratio (% of working-age population),Births attended by skilled health staff (% of total),"Community health workers (per 1,000 people)",Consumption of iodized salt (% of households)
130,100,99.22538453,,2.73300004,3.493999958,3.140000105,,54.70890859,,,
131,99.82653896,99.28733736,,6.954999924,6.71600008,6.829999924,,60.83390771,,,
132,99.96985563,99.99115238,,5.100999832,5.210999966,5.159999847,,54.31300548,,,
133,100,99.59722892,,5.269000053,4.798999786,5.019999981,,57.14921632,,,
134,99.99999974,99.48615574,,4.93900013,5.728000164,5.360000134,,56.40829917,,,
135,99.22181066,99.03286158,,9.38599968,9.526000023,9.460000038,,51.23928687,,,
136,99.88352668,99.67961928,,8.345000267,7.796000004,8.050000191,,53.85248134,,,
137,99.99999856,99.1069609,,4.15500021,4.758999825,4.472000122,,57.06137406,,,
138,99.9999985,98.64760678,,7.953000069,8.062999725,8.010000229,,62.35640565,,,
139,100.0000023,99.22561915,,3.375,4.196000099,3.809999943,,55.38336207,,,
140,99.82686763,99.2862251,,8.284999847,8.295000076,8.289999962,,61.16654504,,,
141,99.96981182,99.99115238,,6.354000092,6.553999901,6.460000038,,55.05194054,,,
142,100.0000011,99.59722947,,5.984000206,5.333000183,5.639999866,,57.34583486,,,
143,99.99999645,99.48615647,,5.353000164,5.722000122,5.550000191,,56.95681092,,,
